file,paragraph_id,section,governing_question,one_sentence_answer,evidence_or_mechanism,scope_condition,transition_to_next_paragraph,recommended_action
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0102,Full-Distribution Bayesian Shortest-Interval Uncertainty,How is the tolerance or scan action distinguished from target uncertainty?,Posterior shortest-target functionals are obtained by drawing a distribution from the posterior DP using a truncated stick-breaking representation .,formal statement or proof,"Scope is conditional; paragraph includes cues: not, under.","Next paragraph begins: The smooth response-distribution alternative is a truncated Gaussian Dirichlet-process mixture . With sticks (V_k ), weights ( _k=V_k _ <k (1-V_ ) ), (V_K=1 ), ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0103,Full-Distribution Bayesian Shortest-Interval Uncertainty,What posterior object or computation is being defined?,The smooth response-distribution alternative is a truncated Gaussian Dirichlet-process mixture .,algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: The deterministic DPM-ECM path is a MAP-style diagnostic and initializer. It uses fractional responsibilities, Gaussian-kernel component updates, and monotone b",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0104,Full-Distribution Bayesian Shortest-Interval Uncertainty,How is the tolerance or scan action distinguished from target uncertainty?,The deterministic DPM-ECM path is a MAP-style diagnostic and initializer.,algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: not.,Next paragraph begins: The Bayesian bootstrap is retained as a weighted-empirical diagnostic. It is useful for sensitivity comparisons but is not labeled as a proper direct-DP respons,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0105,Full-Distribution Bayesian Shortest-Interval Uncertainty,How does the ordinary response-distribution Bayesian layer differ?,The Bayesian bootstrap is retained as a weighted-empirical diagnostic.,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, not.",Next paragraph begins: The numerical part documents bounded evidence for target recovery and implementation behavior. It reports deterministic or single-data diagnostics with provenan,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0106,Part V. Extended Numerical Evidence and Reproducibility,What evidence or reproducibility role does this paragraph serve?,The numerical part documents bounded evidence for target recovery and implementation behavior.,"generated artifact, validation fixture, or diagnostic summary",Scope is conditional; paragraph includes cues: not.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0107,Single-Data Oracle-Tilt Diagnostics,What role does this paragraph play in Single-Data Oracle-Tilt Diagnostics?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: The oracle-tilt illustrations diagnose fixed-target computation on frozen data sets. The article's fixed-design and dynamic illustrations use one frozen data se,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0108,Single-Data Oracle-Tilt Diagnostics,What posterior object or computation is being defined?,The oracle-tilt illustrations diagnose fixed-target computation on frozen data sets.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, under.",Next paragraph begins: Table~ reports descriptive endpoint and width errors and the computational disposition. Realized coverage is included only to describe these two frozen samples.,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0109,Single-Data Oracle-Tilt Diagnostics,How does the dynamic root-state construction preserve the target?,Table~ reports descriptive endpoint and width errors and the computational disposition.,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, only.",Next paragraph begins: [H] Endpoint RMSE averages squared lower- and upper-endpoint error; width RMSE compares fitted and population-oracle widths. Realized coverage is descriptive fo,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0110,Reproducibility and Evidence Scope,What role does this paragraph play in Reproducibility and Evidence Scope?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Reproducibility records separate mathematical target status, numerical execution, and evidence eligibility. Reference checks cover the Gaussian filtering and sm",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0111,Reproducibility and Evidence Scope,What role does this paragraph play in Reproducibility and Evidence Scope?,"Reproducibility records separate mathematical target status, numerical execution, and evidence eligibility.","generated artifact, validation fixture, or diagnostic summary",No special scope condition beyond surrounding section.,Next paragraph begins: These computational checks establish agreement with the specified generalized posteriors on their particular fixtures. They do not establish frequentist calibra,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0112,Reproducibility and Evidence Scope,What posterior object or computation is being defined?,These computational checks establish agreement with the specified generalized posteriors on their particular fixtures.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, when.","Next paragraph begins: The available validation evidence is deepest for MPI ( ( =0 )). Fixed-rate nonzero mean tilt has implementation checks for the Gaussian information shift, zero-",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0113,Reproducibility and Evidence Scope,What evidence or reproducibility role does this paragraph serve?,The available validation evidence is deepest for MPI ( ( =0 )).,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, not.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0114,Reproducibility and Evidence Scope,What role does this paragraph play in Reproducibility and Evidence Scope?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
